Index,Index SubSeries,Source,GSE,Single Cell,Paired,Hand Processed,Mix bulk,Wanna understand better,Sample source name ch1,Cell Cycle,Cell Cycle Subtype,,Comment,% of zeros in data,Single cell In Info,Single In Info,Cell In Info,In Svensson SC list,,Phase Correlation,Cell count,Non zero genes count,Year,Sample organism ch1,Sample source name ch1,Sample status,Sample instrument model,Sample data processing,Sample extract protocol ch1,Sample library selection,Sample library source,Sample library strategy,Sample molecule ch1,Sample platform id,Sample submission date,Sample last update date,Single cell In Info,Single In Info,Cell In Info,In Svensson SC list,Phase Correlation,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals
172,172,ARCHS4v_,GSE98894,,,,,,GEP-NET,Bulk?,,,,35.59,0,0,1,0,,0.96,212,33664,2017,Homo sapiens,GEP-NET,Public on Feb 25 2018,Illumina HiSeq 2500,Sequencing was performed in a Hi-Seq 2500 sequencer (Illumina) and base calling was performed with,212 GEP-NET samples with cellularity >70% were analyzed. Total RNA was isolated and RNA integrity a,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,May 12 2017,Feb 26 2018,0,0,1,0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,173,ARCHS4v_,GSE127298,1,,,,,ALL xenograft cells,Flatten,With Bend,,,78.52,0,0,1,0,,0.9,208,25733,2019,Homo sapiens,ALL xenograft cells,Public on Feb 28 2019,Illumina HiSeq 2000,Raw datasets were filtered to remove cells with small library size (<500k reads).Xx-xXPaired-end sc,"At day 28 post treatment initiation, ALL cells were harvested from mice bone marrow. Cell suspensio",cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Feb 27 2019,Feb 28 2019,0,0,1,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,174,ARCHS4v_,GSE83501Xx-xXGSE83505,,,,,,dyskeratosis congenita patient,G0,or Flatten Extremelt Short,,,74.35,1,1,1,0,,0.42,207,23905,2016,Homo sapiens,dyskeratosis congenita patient,Public on Jun 20 2017,Illumina HiSeq 2500,bcl2fastq 1.8.4 was used to separate out the data for each single cell using unique barcode combina,"Cells were loaded into the Fluidigm C1 microfluidic platform, where single cells were captured. Lys",cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Jun 19 2016,Jun 20 2017,1,1,1,0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,175,ARCHS4v_,GSE104490,,,,,,CD4+ T cell,G0,Very Few Exceptions,,,74.44,1,1,1,0,,0.78,206,21455,2017,Homo sapiens,CD4+ T cell,Public on Mar 02 2018,Illumina NextSeq 500,alignment with STAR 2.4.1dXx-xXgene counts with htseq-count 0.6.1p1Xx-xXGenome_build: hg19Xx-xXSupp,Single cells were sorted into 96-well plates containing guanidine thiocyanate buffer (Qiagen) suppl,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL18573,Oct 02 2017,Mar 03 2018,1,1,1,0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,176,ARCHS4v_,GSE69529,,,,,,children with diarrhea_Shigella,Bulk?,,,,38.92,0,0,0,0,,1,206,29353,2015,Homo sapiens,children with diarrhea_Shigella,Public on Jun 04 2015,Illumina HiSeq 2500,Base-calling was performed automatically in Illumina BaseSpace after sequencing; FASTQ reads were t,"Total RNA was isolated using MagMax for Stabilized Blood Tubes RNA Isolation Kit (Ambion, TX) and R",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Jun 03 2015,Jun 04 2015,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,ARCHS4v_,GSE90749,,,,,,Peripheral Blood Mononuclear Cells,Bulk?,,,,37.74,0,0,1,0,,1,205,34431,2016,Homo sapiens,Peripheral Blood Mononuclear Cells,Public on Apr 01 2017,Illumina HiSeq 2000,"Assembly - Bowtie 2 (TopHat2.0.13)Xx-xXSequenced reads were trimmed for adaptor sequence, and maske",Warren et al Cell Stem Cell 2016Xx-xXWarren et al Cell Stem Cell 2016,cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Dec 01 2016,Apr 01 2017,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,178,ARCHS4v_,GSE115218Xx-xXGSE118203,,,,,,ATCC,FastAndBitOfFlatten,May be,,,64.67,0,0,0,0,,0.74,204,26599,2018,Homo sapiens,ATCC,Public on Feb 28 2019,Illumina NextSeq 500,RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standa,Qiagen TCL lysis bufferXx-xXSmart-seq2,cDNA,transcriptomic,RNA-Seq,total RNA,GPL18573,Aug 07 2018,Feb 28 2019,0,0,0,0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,179,ARCHS4v_,GSE93326,,,,,,PDAC,FlattenSplittedInTwoParts,,,,49.1,0,0,0,0,,0.99,204,32252,2018,Homo sapiens,PDAC,Public on Nov 27 2018,Illumina HiSeq 4000,RTA (Illumina) was used for base callingXx-xXbcl2fastq (version 1.8.4) was used to convert BCL to f,Qiagen RNAeasy Plus Micro KitXx-xXNuGEN Ovation RNA-Seq System V2,cDNA,transcriptomic,RNA-Seq,total RNA,GPL20301,Oct 04 2018,Nov 27 2018,0,0,0,0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,ARCHS4v_,GSE83142,,,,,,PDX Sample ALL-199,Strange,,,,64.22,0,0,1,1,,0.67,204,26981,2016,Homo sapiens,PDX Sample ALL-199,Public on Dec 06 2016,Illumina HiSeq 1500,"Sequencing reads were demultiplexed from the Nextera (i5 and i7) indices using deML (Renaud 2014, B",cDNA synthesis protocol: Cells were sorted into lysis buffer composed of 0.2 % Triton X-100 (Sigma),cDNA,transcriptomic,RNA-Seq,total RNA,GPL18460,Jun 09 2016,Dec 06 2016,0,0,1,1,0.67,Ebinger et al CCell,10.1016/j.ccell.2016.11.002,"Sarah Ebinger, Erbey Ziya Özdemir, Christoph Ziegenhain, Sebastian Tiedt, Catarina Castro Alves, Michaela Grunert, Michael Dworzak, Christoph Lutz, Virginia A. Turati, Tariq Enver, Hans-Peter Horny, Karl Sotlar, Swati Parekh, Karsten Spiekermann, Wolfgang Hiddemann, Aloys Schepers, Bernhard Polzer, Stefan Kirsch, Martin Hoffmann, Bettina Knapp, Jan Hasenauer, Heike Pfeifer, Renate Panzer-Grümayer, Wolfgang Enard, Olivier Gires, Irmela Jeremias",Cancer Cell,"Characterization of Rare, Dormant, and Therapy-Resistant Cells in Acute Lymphoblastic Leukemia",20161201,-,185,Human,,SMARTer (C1),GSE83142,,RNA-seq,,,,,,,,,,,,,,
181,181,ARCHS4v_,GSE66357,,,,,,U87 human glioma cells,G0,,,,88.38,0,0,1,1,,0.11,203,18383,2015,Homo sapiens,U87 human glioma cells,Public on May 21 2015,Illumina NextSeq 500,We collected the set of reads that uniquely mapped to the transcriptome and assigned an address com,RNA was extracted from individual cells in individual microfluidic chambers following cell lysis by,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL18573,Feb 27 2015,May 21 2015,0,0,1,1,0.11,Bose et al GB,10.1186/s13059-015-0684-3,"Sayantan Bose, Zhenmao Wan, Ambrose Carr, Abbas Rizvi, Gregory Vieira, Dana Pe’er, Peter Sims",Genome Biol,Scalable microfluidics for single-cell RNA printing and sequencing,20150618,-,400,Human,,Bose,GSE66357,,RNA-seq,,,,,,,,,,,,Picowell deposition,,
182,182,ARCHS4v_,GSE112057,,,,,,Whole Blood,Bulk?,,,,34.75,0,0,0,0,,0.99,202,29162,2018,Homo sapiens,Whole Blood,Public on May 29 2018,Illumina HiSeq 2000,"Reads were mapped to the human genome (hg19) with TopHat 2.0.13 using default parameters,Xx-xXalign",Blood was collected via Tempus Tube and RNA was extracted with Tempus Spin RNA isolation kit.Xx-xXR,cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Mar 20 2018,May 29 2018,0,0,0,0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,183,ARCHS4v_,GSE69405,,,,,,"PDX, LC-PT-45",Strange,,,,53.29,1,1,1,1,,0.87,201,28026,2015,Homo sapiens,"PDX, LC-PT-45",Public on Jun 03 2015,Illumina HiSeq 2500,RNA-Seq reads were aligned to the human genome reference (hg19) together with splice junction infor,In order to isolate single-cells and amplify initial RNA content enough to transcriptome sequencing,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Jun 03 2015,Jun 04 2015,1,1,1,1,0.87,Kim et al GBiology,10.1186/s13059-015-0692-3,"Kyu-Tae Kim, Hye Won Lee, Hae-Ock Lee, Sang Cheol Kim, Yun Jee Seo, Woosung Chung, Hye Hyeon Eum, Do-Hyun Nam, Junhyong Kim, Kyeung Min Joo, Woong-Yang Park",Genome Biol,Single-cell mRNA sequencing identifies subclonal heterogeneity in anti-cancer drug responses of lung adenocarcinoma cells,20150618,-,208,Human,,SMARTer (C1),GSE69405,,RNA-seq,,,,,,,,,,,,,,
184,184,ARCHS4v_,GSE111065,,,,,,16_15,Strange,,,,59.44,0,0,0,0,,0.86,199,28301,2018,Homo sapiens,16_15,Public on Jan 11 2019,Illumina NextSeq 500,Basecalls performed using CASAVA version 1.4Xx-xXTrim Galore (v0.4.2; parameters : --phred33 --leng,RNA was captured on beads conjugated with oligo-dT primer according to Macauley et al. Separation a,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL18573,Feb 23 2018,Jan 11 2019,0,0,0,0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,185,ARCHS4v_,GSE134881,,,,,,Ileal biopsy,Bulk?,,,,34.18,0,0,0,0,,0.98,199,32425,2019,Homo sapiens,Ileal biopsy,Public on Aug 21 2019,Illumina HiSeq 2000,Sequencing was peformed on the Illumina HiSeq 2000Xx-xXReads were quantified using kallisto with  G,Ileal biopsies were obtained at diagnostic colonoscopies and stored in RNALater at -80.  RNA was is,cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Jul 25 2019,Aug 21 2019,0,0,0,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,186,ARCHS4v_,GSE73502Xx-xXGSE73765,,,,,,Macrophages,,,,,38.11,0,0,0,0,,0.99,198,29608,2015,Homo sapiens,Macrophages,Public on Sep 06 2016,Illumina HiSeq 2000,Adaptor sequences and low quality score bases (Phred score<20) were first trimmed usingTrim Galore,Total RNA was extracted from the non-infected and infected macrophages using the miRNeasykit (Qiage,cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Sep 28 2015,Sep 06 2016,0,0,0,0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,187,ARCHS4v_,GSE99015,,,,,,A427 NSCLC cell line,,,,,43.04,0,0,1,0,,0.85,198,30464,2017,Homo sapiens,A427 NSCLC cell line,Public on Aug 01 2017,Illumina HiSeq 2500,RNA-Seq data processing was performed using Sanofis NGS data analysis framework called SynapseXx,Total cellular RNA using Qiagen RNEasy kitXx-xXStrand-specific RNA-seq library preparation using th,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,May 17 2017,Aug 01 2017,0,0,1,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,188,ARCHS4v_,GSE52166,,,,,,Whole blood,,,,,33.13,0,0,0,0,,0.91,196,34769,2014,Homo sapiens,Whole blood,Public on Feb 27 2014,Illumina HiSeq 2000,Illumina Casava1.8.2 software used for basecalling.Xx-xXSequenced reads were mapped to GRCh3 using,"Total RNA was extracted from whole blood, and depleted of rRNA and globin RNA (ScriptSeq Complet",cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Feb 26 2014,Feb 27 2014,0,0,0,0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,189,ARCHS4v_,GSE112594,,,,,,Active_Wk 78,,,,,35.65,0,0,0,0,,0.97,194,29208,2018,Homo sapiens,Active_Wk 78,Public on Dec 05 2018,Illumina HiSeq 2500,Base-calling was performed automatically by Illumina real time analysis software and demultiplexing,RNA was isolated from whole blood samples using the Total RNA Isolation chemistry on an ABI Prism 6,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Apr 02 2018,Dec 05 2018,0,0,0,0,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,190,ARCHS4v_,GSE113099Xx-xXGSE113197,,,,,,Mammoplasty Reduction,,,,,75.46,0,0,1,0,,0.54,193,21941,2018,Homo sapiens,Mammoplasty Reduction,Public on Apr 17 2018,Illumina HiSeq 2500,After demultiplexing sequencing libraries to individual cell FASTQ files (observed average read dep,"Viable organoids were thawed and washed using DMEM, and digested with 0.05% trypsin (Corning 25-052",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Apr 13 2018,Apr 17 2018,0,0,1,0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,191,ARCHS4v_,GSE99330,,,,,,Melanoma cells,,,,,72.94,0,0,1,1,,0.69,193,23671,2017,Homo sapiens,Melanoma cells,Public on May 26 2017,Illumina NextSeq 500,Drop-seq data processing was performed using Drop-seq_tools-1.0.1 ( http://mccarrolllab.com/dropseq,"DropSeq libraries were built according to Macoscko et. al, protocol v3.1 (http://mccarrolllab.com/d",cDNA,transcriptomic,RNA-Seq,total RNA,GPL18573,May 25 2017,Feb 23 2018,0,0,1,1,0.69,Torre et al CSystems,10.1016/j.cels.2018.01.014,"Eduardo Torre, Hannah Dueck, Sydney Shaffer, Janko Gospocic, Rohit Gupte, Roberto Bonasio, Junhyong Kim, John Murray, Arjun Raj",Cell Systems,Rare Cell Detection by Single-Cell RNA Sequencing as Guided by Single-Molecule RNA FISH,20180214,10.1101/138289,"8,498","Human, Mouse",Tumor,Drop-seq & SMARTer (C1),GSE99330,,RNA-seq,Melanoma,,,,,,,,,,,,,
192,192,ARCHS4v_,GSE79989,,,,,,Melanoma,,,,,40.2,0,0,0,0,,0.99,192,29268,2016,Homo sapiens,Melanoma,Public on Dec 01 2017,Illumina NextSeq 500,Illumina RNASeq libraries were prepared from 100 ng of bulk RNA using the TruSeq RNA Sample Prep Ki,RNA was extracted using the Qiagen RNeasy kit per the manufacturer's instructions.Xx-xXIllumina Tru,cDNA,transcriptomic,RNA-Seq,total RNA,GPL18573,Jul 20 2016,Dec 01 2017,0,0,0,0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,193,ARCHS4v_,GSE90014Xx-xXGSE90015,,,,,,Human dermal fibroblasts,,,,,46.74,0,0,1,0,,0.96,192,28186,2016,Homo sapiens,Human dermal fibroblasts,Public on Apr 10 2018,Illumina HiSeq 2500,Basecalls performed using BCL2FASTQ Conversion Software 1.8.4 in the CASAVA 1.8.2 pipeline.Xx-xXSeq,"We obtained EGFP (+)/DAPI (-) cells on day 3, and TRA-1-60 (+)/DAPI (-) cells on days 7-28 by sorti",cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Nov 17 2016,Apr 10 2018,0,0,1,0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,194,ARCHS4v_,GSE57148,,,,,,COPD lung tissue,,,,,37.77,0,0,0,0,,0.9,189,33026,2014,Homo sapiens,COPD lung tissue,Public on Feb 20 2015,Illumina HiSeq 2000,RNA-Seq reads were mapped to the human genome using TopHat (v 1.4.1)Xx-xXAligned reads were quantif,Total RNA was isolated from normal fresh frozen tissue remote from lung cancer.Xx-xXIn order to con,cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Apr 28 2014,Feb 20 2015,0,0,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,195,ARCHS4v_,GSE64813Xx-xXGSE64814,,,,,,Human peripheral blood leukocytes,,,,,34.55,0,0,0,0,,0.94,188,30959,2015,Homo sapiens,Human peripheral blood leukocytes,Public on Feb 27 2015,Illumina HiSeq 2000,Illumina Casava1.7 software used for basecalling as provided by Expression Analysis (EA) Inc.Xx-xXS,RNA was isolated from peripheral blood leukocytes using LeukoLOCK Total RNA isolation.Xx-xXRNA libr,cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Jan 09 2015,Feb 27 2015,0,0,0,0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,196,ARCHS4v_,GSE126575,,,,,,IMR-32 neuroblastoma cells in culture,,,,,45.73,0,0,1,0,,0.2,188,23387,2019,Homo sapiens,IMR-32 neuroblastoma cells in culture,Public on Feb 15 2019,Illumina HiSeq 4000,Base calling was performed by the Illumina HiSeq 4000's built-in control softwareXx-xXReads were ma,"The PLATE-Seq protocol was used, as described by Bush et al (https://doi.org/10.1038/s41467-017-001",cDNA,transcriptomic,RNA-Seq,total RNA,GPL20301,Feb 14 2019,Feb 15 2019,0,0,1,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,197,ARCHS4v_,GSE95446Xx-xXGSE95459,,,,,,colonic mucosa,,,,,65.72,0,0,0,0,,0.55,186,23799,2017,Homo sapiens,colonic mucosa,Public on Sep 26 2018,Illumina HiSeq 2500,"Trimming of adaptor sequences (IlluminaP7, Nextera, SMARTer) - skewer (https://github.com/relipmoc/",Endoscopic forceps biopsies were dissociated using a combined enzymatic and mechanical approach. De,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Feb 27 2017,Sep 26 2018,0,0,0,0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,198,ARCHS4v_,GSE113616,,,,,,primary pancreatic ductal adenocarcinoma cell line,,,,,58.98,0,0,1,0,,0.98,186,28884,2018,Homo sapiens,primary pancreatic ductal adenocarcinoma cell line,Public on Apr 24 2019,Illumina HiSeq 2500,The paired-end reads from the three sequencing runs were combined and aligned to the hg38 genome fr,"After 72 hours of culture, cells were trypsinized and resuspended in PBS solution, and micromanipul",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,May 07 2018,Apr 24 2019,0,0,1,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,199,ARCHS4v_,GSE116753,,,,,,Human 2,,,,,65.06,0,0,0,0,,0.88,185,23270,2018,Homo sapiens,Human 2,Public on Jan 11 2019,Illumina HiSeq 2500,TPM quantification via RSEMXx-xXTranscripts were collated by gene via summing transcript expression,Fluidigm C1 microfluidics chipXx-xXRNA libraries were prepared for sequencing using standard Illumi,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Jul 06 2018,Jan 11 2019,0,0,0,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,200,ARCHS4v_,GSE117993,,,,,,Rectal biopsy,,,,,34.09,0,0,0,0,,0.98,185,30989,2018,Homo sapiens,Rectal biopsy,Public on Nov 27 2018,Illumina HiSeq 2500,"Raw reads were quantified by Kallisto, using Gencode v 24 as the reference genome and transcripts p",RNA was isolated from rectal biopsies obtained during diagnostic colonoscopy using the Qiagen AllPr,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Aug 01 2018,Nov 27 2018,0,0,0,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,201,ARCHS4v_,GSE101601,,,,,,middle temporal gyrus,,,,,74.45,0,0,0,1,,-0.02,184,19114,2017,Homo sapiens,middle temporal gyrus,Public on Dec 06 2017,Illumina HiSeq 2000,Reads flagged as invalid by the Illumina HiSeq control software were discarded. In the remaining re,"Mice were anesthetized with isoflurane, perfused with ice-cold aCSF, brains collected and sectioned",cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Jul 18 2017,Dec 06 2017,0,0,0,1,-0.02,Hochgarner et al SRep,10.1038/s41598-017-16546-4,"Hannah Hochgerner, Peter Lönnerberg, Rebecca Hodge, Jaromir Mikes, Abeer Heskol, Hermann Hubschle, Philip Lin, Simone Picelli, Gioele La Manno, Michael Ratz, Jude Dunne, Syed Husain, Ed Lein, Maithreyan Srinivasan, Amit Zeisel, Sten Linnarsson",Sci Rep,STRT-seq-2i: dual-index 5ʹ single cell and nucleus RNA-seq on an addressable microwell array,20171121,10.1101/126268,"4,220","Human, Mouse",Brain,STRT-seq-2i,GSE101601,,RNA-seq,Somatosensory cortex,,,,28,,,,,,,,,
202,202,ARCHS4v_,GSE129014,,,,,,Sub_0146,,,,,40.58,0,0,1,0,,0.78,182,27355,2019,Homo sapiens,Sub_0146,Public on Nov 22 2019,Illumina HiSeq 2500,"Illumina bclToFastq-1.8.4 used for basecalling the HiSeq2500 Files, and bcl2fastq2-v2.17.1.14 for b",Cells grown in 6-well or 12-well plates were washed with PBS and lysed with RLT Plus lysis buffer (,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Mar 28 2019,Nov 22 2019,0,0,1,0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,203,ARCHS4v_,GSE134817,,,,,,HepG2_Statins_Ato_6,,,,,45.01,0,0,1,0,,0.93,180,29202,2019,Homo sapiens,HepG2_Statins_Ato_6,Public on Jul 25 2019,Illumina HiSeq 2000,Basecalling was done using Illumina Casava 1.8Xx-xXTag extraction and barcode removal was done usin,"After the treatments, total RNA was extracted from the cells using RNeasy kit (Qiagen).Xx-xX8-plex ",CAGE,transcriptomic,RNA-Seq,total RNA,GPL11154,Jul 24 2019,Jul 27 2019,0,0,1,0,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,204,ARCHS4v_,GSE95837Xx-xXGSE96045,,,,,,hiPSC-derived 3D culture,,,,,71.98,1,1,1,0,,0.09,180,22586,2017,Homo sapiens,hiPSC-derived 3D culture,Public on Apr 26 2017,Illumina HiSeq 2500,Base-calling was performed using Illumina BaseSpace pipeline and standard parameters.Xx-xXSequence,The single-cell RNA-Seq library preparation was adapted from the original SMART Seq-2 protocol. Sin,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Mar 08 2017,Apr 26 2017,1,1,1,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,205,ARCHS4v_,GSE89872,,,,,,Human embryonic stem cell line H1,,,,,42.03,0,0,1,0,,-0.65,179,27397,2016,Homo sapiens,Human embryonic stem cell line H1,Public on Nov 15 2016,Illumina HiSeq 2500,FASTQ files were generated by CASAVA (v1.8.2).Xx-xXReads were mapped to the human transcriptome (Re,Cells were lysed directly on plate with RLT lysis buffer (Qiagen) and total RNA was purified with R,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Nov 15 2016,Nov 16 2016,0,0,1,0,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,206,ARCHS4v_,GSE105451Xx-xXGSE105454,,,,,,JURKAT_SMART-seq+,,,,,61.68,1,1,1,0,,0.92,179,24778,2017,Homo sapiens,JURKAT_SMART-seq+,Public on Feb 11 2019,Illumina NextSeq 500,RNA-Seq:Short reads (76-bp) were trimmed for Nextera adaptors and aligned to the human genome using,"cDNA libraries were synthetized from single cells using SMART-seq+, mRNA targeting or TARGET-seq me",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL18573,Oct 20 2017,Feb 11 2019,1,1,1,0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,207,ARCHS4v_,GSE103844,,,,,,CD4 T cell_Mock_0h,,,,,32.74,0,0,1,0,,0.56,178,30845,2017,Homo sapiens,CD4 T cell_Mock_0h,Public on Sep 14 2017,Illumina HiSeq 2000,Raw reads were mapped to the human reference genome (Reference Human.B37.3) and the expression of i,Total RNA was extracted from CD4 T cells using the RNeasy mini kit (Qiagen) following the manufactu,cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Sep 13 2017,Sep 14 2017,0,0,1,0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,208,ARCHS4v_,GSE122340,,,,,,Liver,,,,,36.48,0,0,0,0,,0.96,178,31718,2018,Homo sapiens,Liver,Public on Aug 20 2019,Illumina HiSeq 2500,The RNA-seq reads were aligned to the human genome (GRCh37/hg19) using TopHat (version 2.1.0)Xx-xXT,Total RNA was isolated from liver biopsies using the miRNeasy Kit (QIAGEN). RNA purity was assessed,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Nov 08 2018,Aug 20 2019,0,0,0,0,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,209,ARCHS4v_,GSE124439Xx-xXGSE137810,,,,,,Frontal Cortex,,,,,23.64,0,0,0,0,,0.8,176,33983,2018,Homo sapiens,Frontal Cortex,Public on Oct 04 2019,Illumina HiSeq 2500,fastq Illumina RNASeq paired-end reads were aligned to the hg19 reference genome using STAR v2.5.2b,"Total RNA is extracted from flash frozen post-mortem tissue using Trizol/Chloroform, followed by Qi",cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Dec 27 2018,Oct 04 2019,0,0,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,210,ARCHS4v_,GSE92276Xx-xXGSE92280,,,,,,human SSCs,,,,,70.78,0,0,1,0,,0.82,175,30553,2016,Homo sapiens,human SSCs,Public on Oct 05 2017,Illumina HiSeq 2500,"Raw RNA sequencing reads (fastq files) were aligned to a custom genome index using Novoalign (v2.8,","Isolated SSEA4+ or Kit+ germline stem cells were diluted into 15,000-20,000 cells/ml and loaded int",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Dec 12 2016,Oct 05 2017,0,0,1,0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,211,ARCHS4v_,GSE107994Xx-xXGSE107995,,,,,,Leicester_Active_TB,,,,,40.11,0,0,0,0,,0.95,175,32054,2017,Homo sapiens,Leicester_Active_TB,Public on Apr 19 2018,Illumina HiSeq 4000,"Raw paired-end RNA-seq data obtained for Berry London, Berry South Africa and Leicester cohorts was",Total RNA was isolated from 1 ml whole blood using the MagMAX for Stabilized Blood Tubes RNA Iso,cDNA,transcriptomic,RNA-Seq,total RNA,GPL20301,Dec 12 2017,Apr 19 2018,0,0,0,0,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,212,ARCHS4v_,GSE99992,,,,,,Whole blood,,,,,35.62,0,0,0,0,,0.99,172,34313,2017,Homo sapiens,Whole blood,Public on Jun 13 2018,Illumina HiSeq 4000,Sequencer-generated base call (BCL) files were converted to FASTQ files and the multiplexed samples,Whole blood collected in PAXgene Boold RNA TubeXx-xXTotal RNA was extracted from PAXgene RNA blood,cDNA,transcriptomic,RNA-Seq,total RNA,GPL20301,Jun 13 2017,Jun 13 2018,0,0,0,0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,213,ARCHS4v_,GSE121579,,,,,,Forward programmed megakaryocytes,,,,,63.23,1,1,1,0,,0.97,172,26531,2018,Homo sapiens,Forward programmed megakaryocytes,Public on Oct 23 2018,Illumina HiSeq 4000,Raw sequencing reads (fastq files) were aligned with GSNAP30 to the human Ensembl reference genome,The single cells were sorted in 96-well plates containing cell lysis buffer (2.3mL of 0.2% Triton X,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL20301,Oct 22 2018,Oct 23 2018,1,1,1,0,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
